Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
gents-quartz-watch-and-cufflinks-set-price-includes-shipping,Gents Shamrock Pewter Quartz Pocket Watch & Cufflinks set,"<p data-start=""160"" data-end=""246""><strong data-start=""160"" data-end=""246"">Product Code P370: Irish Gents Shamrock Pewter Quartz Pocket Watch &amp; Cufflinks Set</strong></p>
<p data-start=""248"" data-end=""519"">A timeless Irish gift set featuring a <strong data-start=""286"" data-end=""330"">Quartz Pocket Watch &amp; Matching Cufflinks</strong>, beautifully crafted in pewter with traditional <strong data-start=""379"" data-end=""399"">Celtic detailing</strong>. Available in <strong data-start=""414"" data-end=""446"">Shamrock or Claddagh designs</strong>, this elegant set is ideal for celebrating the special man in your life.</p>
<p data-start=""521"" data-end=""537""><strong data-start=""521"" data-end=""537"">Pocket Watch</strong></p>
<ul data-start=""538"" data-end=""672"">
<li data-start=""538"" data-end=""595"">
<p data-start=""540"" data-end=""595"">Reliable <strong data-start=""549"" data-end=""568"">quartz movement</strong> for accurate timekeeping</p>
</li>
<li data-start=""596"" data-end=""672"">
<p data-start=""598"" data-end=""672"">Crafted from high-quality <strong data-start=""624"" data-end=""640"">Irish pewter</strong> with a polished silver finish</p>
</li>
</ul>
<p data-start=""674"" data-end=""687""><strong data-start=""674"" data-end=""687"">Cufflinks</strong></p>
<ul data-start=""688"" data-end=""794"">
<li data-start=""688"" data-end=""740"">
<p data-start=""690"" data-end=""740"">Coordinated <strong data-start=""702"" data-end=""738"">Celtic-inspired pewter cufflinks</strong></p>
</li>
<li data-start=""741"" data-end=""794"">
<p data-start=""743"" data-end=""794"">Designed to complement the pocket watch perfectly</p>
</li>
</ul>
<p data-start=""796"" data-end=""814""><strong data-start=""796"" data-end=""814"">Design Options</strong></p>
<ul data-start=""815"" data-end=""938"">
<li data-start=""815"" data-end=""877"">
<p data-start=""817"" data-end=""877""><strong data-start=""817"" data-end=""829"">Shamrock</strong> – a symbol of Irish heritage and good fortune</p>
</li>
<li data-start=""878"" data-end=""938"">
<p data-start=""880"" data-end=""938""><strong data-start=""880"" data-end=""892"">Claddagh</strong> – representing love, loyalty and friendship</p>
</li>
</ul>
<p data-start=""940"" data-end=""955""><strong data-start=""940"" data-end=""955"">Perfect for</strong></p>
<ul data-start=""956"" data-end=""1043"">
<li data-start=""956"" data-end=""990"">
<p data-start=""958"" data-end=""990""><strong data-start=""958"" data-end=""988"">Best Man &amp; Groomsmen gifts</strong></p>
</li>
<li data-start=""991"" data-end=""1011"">
<p data-start=""993"" data-end=""1011""><strong data-start=""993"" data-end=""1009"">Father’s Day</strong></p>
</li>
<li data-start=""1012"" data-end=""1043"">
<p data-start=""1014"" data-end=""1043""><strong data-start=""1014"" data-end=""1043"">Birthdays &amp; Anniversaries</strong></p>
</li>
</ul>
<p data-start=""1045"" data-end=""1140"">A meaningful <strong data-start=""1058"" data-end=""1078"">Irish men’s gift</strong> that combines tradition, craftsmanship and everyday elegance.</p>
<p data-start=""1142"" data-end=""1202""><strong data-start=""1142"" data-end=""1165"">Handmade in Ireland</strong><br data-start=""1165"" data-end=""1168""><strong data-start=""1168"" data-end=""1202"">Shipping included in the price</strong></p>",Mullingar Pewter,,Gifts for Men,"21st, 40th, 50th, birthday, bronze, celtic, claddagh, cufflinks, general gift, general gifts, gift, Heritage, irish, men, mens, pewter, pewter silver, shamrock, sports, watch, wedding, wedding gifts, imported, unlisted",false,Title,Default Title,,,,,P370 Shamrock,0,shopify,0,deny,manual,71.95,,true,false,,https://cdn.shopify.com/s/files/1/1565/2549/products/IMG_20210621_095103.jpg?v=1642690797,1,Gents Shamrock Pewter Quartz Pocket Watch & Cufflinks set,false,Gents Shamrock Pewter Quartz Pocket Watch & Cufflinks set,"Product Code P370: Irish Gents Shamrock Pewter Quartz Pocket Watch & Cufflinks Set A timeless Irish gift set featuring a Quartz Pocket Watch & Matching Cufflinks, beautifully crafted in pewter with traditional Celtic detailing. Available in Shamrock or Claddagh designs, this elegant set is ideal for celebrating the spe",,,,,,,,,,,,,g,,,true,true,,,unlisted
a-pewter-tea-coffee-set,Mullingar Pewter Exclusive Limited Edition Irish Pewter Tea & Coffee Set,"<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><strong>Product code D11 Mullingar Pewter Exclusive Irish Pewter Tea &amp; Coffee Set</strong></p>
<p data-start=""77"" data-end=""398"">An heirloom of exceptional Irish craftsmanship, our Limited Edition all-pewter Tea &amp; Coffee Set is created for those who appreciate true distinction. Handcrafted in Mullingar, this elite collection includes a tea pot, coffee pot, creamer, sugar bowl and matching serving tray, each adorned with refined Celtic engraving.</p>
<p data-start=""400"" data-end=""557"">Impressive in weight and presence, this is more than a serving set — it is a legacy piece, designed to be treasured, admired and passed down for generations.</p>
<p data-start=""400"" data-end=""557"">Please allow extra time for delivery on this amazing and unique product</p>
<p><span style=""text-decoration: underline;""><strong>About out Pewter Tea Pots, Coffee Pots, Jugs and Steins.</strong></span></p>
<p>Our metal content in all of the above is 92-95% tin with a balance of Copper and Antimony.</p>
<p>Our metal is Lead free and complies with EU, FDA,BS and Proposition 65 standards.</p>
<p>Our items are generally packaged in Brown Card Board boxes as they are part of a set, or they need additional packaging.</p>",Mullingar Pewter,,Gift,"antique, beverage set, canister, coffee, coffee pot, exquisite, irish, Irish american, irish gift, irish heritage, Irish History, Irish pewter, jug, limited edition, luck of the irish, pewter beverage set, pewter coffee set, pewter milk jug, pewter pot, pewter sugar bowl, pewter tea set, pewter tray, set, tea, tea pot, unique, unique tea and coffee set, vintage, imported, unlisted",false,Title,Default Title,,,,,D11,0,shopify,0,deny,manual,1100.00,,true,false,,https://cdn.shopify.com/s/files/1/1565/2549/products/TEA_AND_COFFEE_SET.jpg?v=1772639156,1,Mullingar Pewter Exclusive Limited Edition Irish Pewter Tea & Coffee Set,false,Mullingar Pewter Exclusive Limited Edition Irish Pewter Tea & Coffee S,"Product code D11 Mullingar Pewter Exclusive Irish Pewter Tea & Coffee Set An heirloom of exceptional Irish craftsmanship, our Limited Edition all-pewter Tea & Coffee Set is created for those who appreciate true distinction. Handcrafted in Mullingar, this elite collection includes a tea pot, coffee pot, creamer, sugar b",,,,,,,,,,,,,g,,,true,true,,,unlisted
kells-candlesticks-set-of-two-with-candles,Mullingar Pewter Kells Pewter Candle Holders with candles,"<p><strong>Product Code: P145 Mullingar Pewter Kells Candle Holders (with Candles)</strong></p>
<p>Mark special moments with this stunning set of Mullingar Pewter Irish candlesticks. Featuring an intricate Trinity Knot design, inspired by the Celtic Cross of Clonard, these candle holders reflect the artistry of Ireland’s ancient monastic settlements that thrived before the 10th century.</p>
<p><strong>Product Details:</strong></p>
<ul>
<li>
<strong>Height:</strong> 4.5 inches</li>
<li>
<strong>Design:</strong> Trinity Knot inspired by the Celtic Cross of Clonard.</li>
<li>
<strong>Includes:</strong> Two white candles and a presentation box, perfect for gifting.</li>
</ul>
<p>A timeless gift to celebrate weddings, anniversaries, or other special occasions.</p>
<p><strong>Handmade in Ireland</strong> with exceptional craftsmanship.<br><strong>Price Includes Worldwide Shipping.</strong></p>
<p><br></p>",Mullingar Pewter,,Homeware,"candle, candlestick, celtic candleholders, Celtic design, pewter, pewter candleholder, pewter candlestick, pewter silver, pewter silver wedding, pewter triskele, set of 2 candleholder, set of 2 candlesticks, silver wedding, triskel, triskele, Triskeles, wedding, wedding gifts, imported, unlisted",false,Title,Default Title,,,,,P145,0,shopify,0,deny,manual,119.95,,true,false,,https://cdn.shopify.com/s/files/1/1565/2549/products/squarekellscandle.jpg?v=1625657740,1,Mullingar Pewter Kells Pewter Candle Holders with candles,false,Mullingar Pewter Kells Pewter Candle Holders with candles,"Product Code: P145 Mullingar Pewter Kells Candle Holders (with Candles) Mark special moments with this stunning set of Mullingar Pewter Irish candlesticks. Featuring an intricate Trinity Knot design, inspired by the Celtic Cross of Clonard, these candle holders reflect the artistry of Ireland’s ancient monastic settlem",,,,,,,,,,,,,g,,,true,true,,,unlisted
kells-candlesticks-set-of-two-with-candles,,,,,,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1565/2549/products/CANDLEHOLDERSETP145.jpg?v=1625657902,2,Mullingar Pewter Kells Pewter Candle Holders with candles,,,,,,,,,,,,,,,,,,,,,,,unlisted
pewter-whiskey-measures-shots,Mullingar Pewter Measure & Shots Collection,"<h2>
<strong>Mullingar Pewter Measure &amp; Shots Collection </strong><strong>Handmade Pewter Shot Measures with Iconic Celtic and Whiskey Designs</strong>
</h2>
<hr>
<p>Discover our exquisite collection of pewter shot measures, each meticulously handcrafted and adorned with traditional Celtic motifs and renowned whiskey brand logos. Perfect for any aspiring bartender or whiskey enthusiast, these measures combine function with a touch of Irish heritage and elegance.</p>
<hr>
<h3><strong>Product Details</strong></h3>
<ul>
<li>
<strong>Material:</strong> Premium Irish pewter</li>
<li>
<strong>Capacity:</strong> Standard 1 oz (1/4 jigger)</li>
<li>
<strong>Design:</strong> Celtic patterns and branded whiskey emblems</li>
<li>
<strong>Finish:</strong> Polished to a fine silver sheen</li>
</ul>
<hr>
<h3><strong>Product Range</strong></h3>
<hr>
<p><strong>### A18 IW - Irish Whisky Pewter Measure</strong></p>
<p><strong>Ideal for the budding bartender.</strong> This beautifully crafted shot measure holds 1 oz (or 1/4 jigger) and is embellished with intricate Celtic designs on two sides, inspired by the historic Bealin Cross near Mullingar. The third side features a symbol of a whiskey still, representing the rich tradition of Irish whiskey making. Each design connects you to Ireland’s storied past and cultural heritage.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>
<strong>Capacity:</strong> 1 oz (1/4 jigger)</li>
<li>
<strong>Design:</strong> Celtic motifs inspired by Bealin Cross and whiskey still emblem</li>
<li>
<strong>Usage:</strong> Ideal for measuring spirits or enjoying a shot</li>
</ul>
<p><strong>HANDMADE IN IRELAND | PRICE INCLUDES SHIPPING</strong></p>
<hr>
<p><strong>### A18T - Teachers Whisky Pewter Measure</strong></p>
<p><strong>A piece of Scottish heritage.</strong> This measure celebrates Teachers Scotch Whisky, a brand established in Glasgow in 1830. Featuring a capacity of 1 oz (1/4 jigger), this measure is perfect for both bartending and as a unique collectible. The sides display intricate Celtic designs while the logo of Teachers Whisky adds a distinctive touch.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>
<strong>Capacity:</strong> 1 oz (1/4 jigger)</li>
<li>
<strong>Design:</strong> Celtic patterns with Teachers Whisky logo</li>
<li>
<strong>Background:</strong> Honors the heritage of Teachers Scotch Whisky, a brand with a rich history dating back to the 19th century</li>
</ul>
<p><strong>HANDMADE IN IRELAND | PRICE INCLUDES SHIPPING</strong></p>
<hr>
<p><strong>### A18 TD - Tullamore Dew Whisky Pewter Measure</strong></p>
<p><strong>Celebrate Irish whiskey tradition.</strong> This traditional pewter shot measure is crafted with fine detail, featuring 1 oz (1/4 jigger) capacity. The measure is decorated with Celtic designs inspired by the Bealin Cross, and the Tullamore Dew logo, highlighting the whiskey’s rich history dating back to 1829 in Tullamore, Co. Offaly.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>
<strong>Capacity:</strong> 1 oz (1/4 jigger)</li>
<li>
<strong>Design:</strong> Celtic motifs and Tullamore Dew logo</li>
<li>
<strong>Heritage:</strong> Reflects the legacy of Tullamore Dew, the second most popular Irish whiskey worldwide</li>
</ul>
<p><strong>HANDMADE IN IRELAND | PRICE INCLUDES SHIPPING</strong></p>
<hr>
<h3><strong>Cultural Significance</strong></h3>
<p>The Celtic designs on our shot measures draw from the ancient Bealin Cross near Mullingar, which, like many Celtic crosses, tells stories from historic manuscripts. These symbols are a vital part of Ireland’s rich cultural heritage, linking the present to the ancient traditions of Ogham stones and monastic manuscripts created by monks across Ireland.</p>
<h3><strong>Why Choose Mullingar Pewter?</strong></h3>
<ul>
<li>
<strong>Authentic Craftsmanship:</strong> Each piece is handcrafted in Mullingar, Ireland, by skilled artisans committed to preserving the rich tradition of pewter work.</li>
<li>
<strong>Cultural Connection:</strong> Our designs are inspired by significant Irish historical artifacts, providing not just a practical bar tool but a piece of Irish art with deep cultural roots.</li>
<li>
<strong>Perfect Gift:</strong> These shot measures make excellent gifts for birthdays, weddings, or any special occasion, especially for those with a love for whiskey and Irish heritage.</li>
</ul>
<h3>
<strong>HANDMADE IN IRELAND</strong> | <strong>PRICE INCLUDES SHIPPING</strong>
</h3>
<p data-mce-fragment=""1""><span style=""text-decoration: underline;"" data-mce-fragment=""1"" data-mce-style=""text-decoration: underline;""><strong data-mce-fragment=""1"">About our Pewter Measures</strong></span></p>
<p data-mce-fragment=""1"">Our metal content in all of the above is 92-95% tin with a balance of Copper and Antimony.</p>
<p data-mce-fragment=""1"">Our metal is Lead free and complies with EU, FDA,BS and Proposition 65 standards.</p>
<p data-mce-fragment=""1"">Our items are packaged in Black and Silver Mullingar Pewter Packaging where possible.</p>
<p> </p>",Mullingar Pewter,,Drinkware,"21st, 40th, CELTIC, celtic shot, celtic tot, groomsman, ireland, irish, Irish Whiskey, jameson, measure, pewter celtic measure, pewter celtic shot, pewter measue, pewter shot, pewter silver shot, pewter silver tot, pewter spirit, pewter spirit measure, pewter tot, pewter whiskey measure, scotland, SHOT, spirit, spirit measure, Teachers, TOT, TULLAMORE DEW, whiskey, WHISKY, imported, unlisted",false,Choose Design,Tullamore Dew Measure,,,,,A18TD,0,shopify,0,deny,manual,57.95,,true,false,,https://cdn.shopify.com/s/files/1/1565/2549/products/WHISKEYSHOTS1OZ.jpg?v=1661502497,1,Mullingar Pewter Measure & Shots Collection,false,Mullingar Pewter Measure & Shots Collection,"Mullingar Pewter Measure & Shots Collection Handmade Pewter Shot Measures with Iconic Celtic and Whiskey Designs Discover our exquisite collection of pewter shot measures, each meticulously handcrafted and adorned with traditional Celtic motifs and renowned whiskey brand logos. Perfect for any aspiring bartender or whi",,,,,,,,,,,,,g,,,true,true,,,unlisted
pewter-whiskey-measures-shots,,,,,,,false,,Teachers Whiskey Measure,,,,,A18T,0,shopify,0,deny,manual,57.95,,true,false,,,,,,,,,,,,,,,,,,,,g,,,,,,,unlisted
pewter-whiskey-measures-shots,,,,,,,false,,Irish Whiskey,,,,,A18IW Irish Whiskey,0,shopify,0,deny,manual,57.95,,true,false,,,,,,,,,,,,,,,,,,,,g,,,,,,,unlisted
pewter-whiskey-measures-shots,,,,,,,false,,SET OF THREE WHISKEY MEASURES,,,,,3 measures,0,shopify,0,deny,manual,159.95,,true,false,,,,,,,,,,,,,,,,,,,,g,,,,,,,unlisted
pewter-whiskey-measures-shots,,,,,,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1565/2549/products/IRISHWHISKEY1OZSHOT.jpg?v=1661502497,2,Mullingar Pewter Measure & Shots Collection,,,,,,,,,,,,,,,,,,,,,,,unlisted
pewter-whiskey-measures-shots,,,,,,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1565/2549/products/1OZTEACHERSWHISKYSHOT.jpg?v=1661502497,3,Mullingar Pewter Measure & Shots Collection,,,,,,,,,,,,,,,,,,,,,,,unlisted
pewter-whiskey-measures-shots,,,,,,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1565/2549/products/TULLAMOREDEWWHISKEYSHOT1OZ.jpg?v=1661502497,4,Mullingar Pewter Measure & Shots Collection,,,,,,,,,,,,,,,,,,,,,,,unlisted
pewter-whiskey-measures-shots,,,,,,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1565/2549/products/CELTICSHOT1OZ.jpg?v=1661502497,5,Mullingar Pewter Measure & Shots Collection,,,,,,,,,,,,,,,,,,,,,,,unlisted
